horizon,timestep,n_hidden,mae,mse,mape
24,3,128,61.6994729327,7185.86733562,201.743242466
3,3,256,60.1027679095,7675.4244446,155.255000781
6,3,256,59.2890295459,7444.0624848,140.985186681
12,3,256,61.0657785094,7565.32755372,167.37021352
24,3,256,62.1013622868,7155.87929684,206.798587653
3,5,16,30.8008984139,2230.96780749,62.0154760008
6,5,16,42.787934053,3890.71529656,115.537118128
12,5,16,53.5153813124,5849.44881972,148.470035991
24,5,16,60.4189150557,6917.63349794,199.836243956
3,5,32,25.8892148484,1728.70220806,48.6925732879
6,5,32,39.5764645788,3530.35528617,91.4407791739
12,5,32,52.8079997098,5564.87940286,159.34778693
24,5,32,61.8507644463,7473.30135148,187.455121682
3,5,64,28.1844312284,1832.49089057,72.8543717721
6,5,64,40.1790517739,3530.37217169,110.953364197
12,5,64,52.3738884413,5601.7887266,149.449173537
24,5,64,61.4146819798,6969.26438429,209.544520975
3,5,128,56.6251613726,6645.36718405,99.7544542873
6,5,128,43.0852902336,4065.57006539,95.6668096332
12,5,128,55.6490696622,5716.98896661,187.5700799
24,5,128,64.5493021371,7454.69796752,220.332420779
3,5,256,47.8964785974,4428.08585162,116.559835796
6,5,256,59.4978815776,7984.05597162,124.274179053
12,5,256,62.3138585928,7211.01237067,190.238813915
24,5,256,190.989056001,60956.9179589,720.112844592
3,10,16,26.4146329533,1759.67006098,53.0517273386
6,10,16,41.0339063591,3484.72283259,122.697965894
12,10,16,52.181930574,5525.90778223,151.898632255
24,10,16,59.9857047295,7084.51241062,179.535355532
3,10,32,26.1693767673,1733.31712906,66.5055686141
6,10,32,42.0302201318,3686.43701579,117.046822255
12,10,32,51.6461221094,5469.33832039,147.68019787
24,10,32,62.1677995948,6999.83673882,220.98904728
3,10,64,32.8663252068,2222.39432312,105.805095992
6,10,64,39.0772745249,3442.49960114,92.9596828932
12,10,64,51.8948817293,5467.56753483,154.820370952
24,10,64,61.9220535315,7332.76309407,195.791357208
3,10,128,81.9107017992,12051.6705215,175.194766445
6,10,128,44.247372557,4040.88139206,116.725436241
12,10,128,56.3188877158,5743.87849006,191.430027348
24,10,128,63.9938902157,8471.27304667,168.789427421
3,10,256,73.610738575,9386.39895604,228.924412183
6,10,256,128.135517115,32733.0328931,254.768952991
12,10,256,157.125436117,34495.8977941,516.737557301
24,10,256,151.751016066,33174.5894025,614.108767084
3,15,16,27.5283831992,1861.30060512,55.021031543
6,15,16,40.0062224663,3579.50930195,96.3430826401
12,15,16,53.2466554698,5408.65971316,177.056639951
24,15,16,61.2391051979,7054.19879137,204.235365842
3,15,32,26.3166459722,1847.56701131,57.5361815088
6,15,32,38.6656559594,3439.05805105,88.2114488258
12,15,32,53.8858966457,5865.79081419,151.869927005
24,15,32,61.3057130653,7188.13144964,194.557790931
3,15,64,26.6315035397,1748.13134517,67.6479171796
6,15,64,42.1667159364,3836.22831866,103.546765387
12,15,64,52.1472744178,5449.55490861,160.679669746
24,15,64,61.7050371124,7233.52205418,199.987467758
3,15,128,52.4275950578,6172.58972901,107.8900038
6,15,128,45.0034353005,4195.94356454,130.917071015
12,15,128,60.0161245319,6684.3683728,187.722571891
24,15,128,66.1410389248,8831.6716632,192.485848636
3,15,256,61.7296475691,7955.14386364,164.921688839
6,15,256,99.632523389,15128.5988846,397.848184643
12,15,256,248.96714057,73503.3898244,545.625595233
24,15,256,111.672185918,22793.2958673,194.314001339
3,25,16,27.6771580591,1824.79670554,55.7867048874
6,25,16,45.763250009,4516.32828296,105.862333762
12,25,16,52.1068328589,5593.54574404,144.175186588
24,25,16,61.5308346989,6919.00301986,211.794505747
3,25,32,29.0131664903,1821.48017945,88.6317505894
6,25,32,41.5408460921,3638.46802464,116.730839584
12,25,32,53.0416330813,5706.45510532,152.321692052
24,25,32,60.6689179984,7090.52550004,194.964664192
3,25,64,28.8776565184,1932.49541154,77.9587780789
6,25,64,42.0995790892,3666.16496971,120.364192588
12,25,64,53.3509380433,5773.94688032,151.700727949
24,25,64,62.8773657227,7398.55451229,206.978186789
3,25,128,47.9758343378,3604.25821097,181.02891789
6,25,128,72.4810791549,9831.69918042,237.663095557
12,25,128,97.6197685054,23491.9671037,280.648832216
24,25,128,126.770944616,27126.0839636,201.2650037
3,25,256,76.1686202071,10729.9110604,220.01299452
6,25,256,89.7219153475,28095.1413638,280.21167397
12,25,256,138.771237158,36651.0448912,262.318571531
24,25,256,212.916267125,61136.8414974,464.243083743
